_id,bonusPointsEarned,bonusPointsEarnedReason,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,pointsEarned,purchaseDate,purchasedItemCount,rewardsReceiptStatus,totalSpent,userId,brand_name
5ff1e1eb0a720f0523000575,500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03T15:25:31.000000Z,2021-01-03T15:25:31.000000Z,2021-01-03T15:25:31.000000Z,2021-01-03T15:25:36.000000Z,2021-01-03T15:25:31.000000Z,500,2021-01-03T00:00:00.000000Z,5,FINISHED,26,5ff1e1eacfcf6c399c274ae6,
5ff1e1bb0a720f052300056b,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03T15:24:43.000000Z,2021-01-03T15:24:43.000000Z,2021-01-03T15:24:43.000000Z,2021-01-03T15:24:48.000000Z,2021-01-03T15:24:43.000000Z,150,2021-01-02T15:24:43.000000Z,2,FINISHED,11,5ff1e194b6a9d73a3a9f1052,
5ff1e1f10a720f052300057a,5,All-receipts receipt bonus,2021-01-03T15:25:37.000000Z,2021-01-03T15:25:37.000000Z,,2021-01-03T15:25:42.000000Z,,5,2021-01-03T00:00:00.000000Z,1,REJECTED,10,5ff1e1f1cfcf6c399c274b0b,
5ff1e1ee0a7214ada100056f,5,All-receipts receipt bonus,2021-01-03T15:25:34.000000Z,2021-01-03T15:25:34.000000Z,2021-01-03T15:25:34.000000Z,2021-01-03T15:25:39.000000Z,2021-01-03T15:25:34.000000Z,5,2021-01-03T00:00:00.000000Z,4,FINISHED,28,5ff1e1eacfcf6c399c274ae6,
5ff1e1d20a7214ada1000561,5,All-receipts receipt bonus,2021-01-03T15:25:06.000000Z,2021-01-03T15:25:06.000000Z,2021-01-03T15:25:11.000000Z,2021-01-03T15:25:11.000000Z,2021-01-03T15:25:06.000000Z,5,2021-01-02T15:25:06.000000Z,2,FINISHED,1,5ff1e194b6a9d73a3a9f1052,
5ff1e1e40a7214ada1000566,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03T15:25:24.000000Z,2021-01-03T15:25:24.000000Z,2021-01-03T15:25:25.000000Z,2021-01-03T15:25:30.000000Z,2021-01-03T15:25:25.000000Z,750,2021-01-02T15:25:24.000000Z,1,FINISHED,3.25,5ff1e1e4cfcf6c399c274ac3,
5ff1e1cd0a720f052300056f,5,All-receipts receipt bonus,2021-01-03T15:25:01.000000Z,2021-01-03T15:25:01.000000Z,2021-01-03T15:25:02.000000Z,2021-01-03T15:25:02.000000Z,2021-01-03T15:25:02.000000Z,5,2021-01-03T15:25:01.000000Z,1,FINISHED,2.23,5ff1e194b6a9d73a3a9f1052,Total™
5ff1e1a40a720f0523000569,500,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03T15:24:20.000000Z,2021-01-03T15:24:20.000000Z,2021-01-03T15:24:21.000000Z,2021-01-03T15:24:21.000000Z,2021-01-03T15:24:21.000000Z,500,2020-12-27T00:00:00.000000Z,1,FINISHED,10,5ff1e194b6a9d73a3a9f1052,DEGREE
5ff1e1ed0a7214ada100056e,5,All-receipts receipt bonus,2021-01-03T15:25:33.000000Z,2021-01-03T15:25:33.000000Z,2021-01-03T15:25:34.000000Z,2021-01-03T15:25:38.000000Z,2021-01-03T15:25:34.000000Z,5,2021-01-03T00:00:00.000000Z,5,FINISHED,20,5ff1e1eacfcf6c399c274ae6,
5ff1e1eb0a7214ada100056b,250,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",2021-01-03T15:25:31.000000Z,2021-01-03T15:25:31.000000Z,2021-01-03T15:25:31.000000Z,2021-01-03T15:25:36.000000Z,2021-01-03T15:25:31.000000Z,250,2021-01-03T00:00:00.000000Z,3,FINISHED,20,5ff1e1eacfcf6c399c274ae6,
